Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
-----------------------------------------------
                4.22    0.00 3353966089/3353966089     leap_vdbe_execute_program [2]
[8]      9.7    4.22    0.00 3353966089         leap_vdbe_dispatch [8]
-----------------------------------------------
                0.81    3.35 693019930/693019930     leap_vdbe_execute_program [2]
[9]      9.6    0.81    3.35 693019930         leap_opcode_expr_execute [9]
                0.74    1.77 693006816/693006816     eval_binop [12]
                0.26    0.26 693019930/6252543042     leap_vdbe_state_set_register [7]
                0.32    0.00 1386026746/3465183037     leap_vdbe_state_get_register [22]
                0.00    0.00   13114/13114       eval_unaryop [54]
-----------------------------------------------
                2.09    0.95 4173399410/4173399410     leap_opcode_rows_execute [4]
[10]     7.0    2.09    0.95 4173399410         register_in_range [10]
                0.95    0.00 4173399410/6945582289     leap_vdbe_state_num_registers [18]
                0.00    0.00  116070/3465183037     leap_vdbe_state_get_register [22]
-----------------------------------------------
                2.64    0.00 4871530138/4871530138     leap_opcode_rows_execute [4]
[11]     6.1    2.64    0.00 4871530138         leap_vdbe_state_cursor_is_open [11]
-----------------------------------------------
                0.74    1.77 693006816/693006816     leap_opcode_expr_execute [9]
[12]     5.8    0.74    1.77 693006816         eval_binop [12]
                0.22    1.07 348568197/348568197     binop_cmp [19]
                0.39    0.00 1386013632/1386026746     leap_value_is_null [28]
                0.09    0.00 344438619/344438619     v_null [34]
-----------------------------------------------
                0.00    0.00  116070/4173489708     leap_storage_cursor_insert_row [53]
                2.47    0.00 4173373638/4173489708     leap_opcode_rows_execute [4]
[13]     5.7    2.47    0.00 4173489708         value_clone [13]
-----------------------------------------------
                0.00    0.00  349593/1957925339     vdbe_state_deinit [52]
                2.36    0.00 1957575746/1957925339     leap_vdbe_state_set_register [7]
[14]     5.4    2.36    0.00 1957925339         value_release [14]
-----------------------------------------------
                1.70    0.63 2772182681/2772182681     leap_opcode_core_execute [6]
[15]     5.4    1.70    0.63 2772182681         register_in_range [15]
                0.63    0.00 2772182681/6945582289     leap_vdbe_state_num_registers [18]
-----------------------------------------------
                2.31    0.00 4173373638/4173373638     leap_opcode_rows_execute [4]
[16]     5.3    2.31    0.00 4173373638         leap_storage_cursor_column [16]
-----------------------------------------------
                2.02    0.00 4871530138/4871530138     leap_opcode_rows_execute [4]
[17]     4.6    2.02    0.00 4871530138         leap_vdbe_state_cursor_borrow [17]
-----------------------------------------------
                0.00    0.00     198/6945582289     leap_opcode_core_execute [6]
                0.63    0.00 2772182681/6945582289     register_in_range [15]
                0.95    0.00 4173399410/6945582289     register_in_range [10]
[18]     3.6    1.58    0.00 6945582289         leap_vdbe_state_num_registers [18]
-----------------------------------------------
                0.22    1.07 348568197/348568197     eval_binop [12]
[19]     3.0    0.22    1.07 348568197         binop_cmp [19]
                0.53    0.40 348568197/348568197     compare_affinity [21]
                0.08    0.00 348568197/1045704591     scalar_quote [30]
                0.06    0.00 348568197/348568197     v_int [35]
-----------------------------------------------
                1.25    0.00 4178536148/4178536148     leap_vdbe_execute_program [2]
[20]     2.9    1.25    0.00 4178536148         continue_outcome [20]
-----------------------------------------------
                0.53    0.40 348568197/348568197     binop_cmp [19]
[21]     2.1    0.53    0.40 348568197         compare_affinity [21]
                0.25    0.00 697136394/697149508     coerce_numeric [29]
                0.15    0.00 697136394/1045704591     scalar_quote [30]
-----------------------------------------------
                0.00    0.00     396/3465183037     sink [60]
                0.00    0.00  116070/3465183037     register_in_range [10]
                0.16    0.00 693006816/3465183037     leap_opcode_control_execute [24]
                0.32    0.00 1386026746/3465183037     leap_opcode_expr_execute [9]
                0.32    0.00 1386033009/3465183037     leap_opcode_core_execute [6]
[22]     1.8    0.80    0.00 3465183037         leap_vdbe_state_get_register [22]
-----------------------------------------------
                0.77    0.00 1386149474/1386149474     leap_opcode_core_execute [6]
[23]     1.8    0.77    0.00 1386149474         value_clone [23]
-----------------------------------------------
                0.37    0.35 693006816/693006816     leap_vdbe_execute_program [2]
[24]     1.7    0.37    0.35 693006816         leap_opcode_control_execute [24]
                0.19    0.00 693006816/693006816     leap_value_is_truthy [31]
                0.16    0.00 693006816/3465183037     leap_vdbe_state_get_register [22]
-----------------------------------------------
                                                 <spontaneous>
[25]     1.6    0.68    0.00                 _init [25]
-----------------------------------------------
                0.43    0.00 695562273/695562273     leap_opcode_rows_execute [4]
[26]     1.0    0.43    0.00 695562273         leap_storage_cursor_next [26]
-----------------------------------------------
